T A R O T   K E Y W O R D S

Rider-Waite-Smith	Keywords	Attribute Manifested	Additional Keywords
	Upright	Reversed		
Key 0 – The Fool	Harbinger	Indiscretion	Foolishness	Inauguration
Key 1 – The Magician	Manifestation	Transformation	Divinity in Man [MALE SIG.]	Focus, Mastery
Key 2 – High Priestess	Perceptivity	Hypocrisy	Creative Power [FEMALE SIG.]	Esoteric Knowledge
Key 3 – The Empress	Abundance	Unproductive	Desire, Restlessness	Creativity, Mettā
Key 4 – The Emperor	Dominion	Overpower	Power to Control	Temporal Power
Key 5 – The Hierophant	Tradition	Heterodoxy	Divine Influence Exerted	Spiritual Power
Key 6 – The Lovers	Moral Choice	Intrusion	Love; Personal Attachment	Passion; Affections
Key 7 – The Chariot	Control; Providence	Turbulence	Freedom by Knowledge	Creating Change
Key 8 – Strength	Potency; Vitality	Feral	Will Power	Audacity, Bravura
Key 9 – The Hermit	Wisdom	Impiety	Conquest of Emotions	Prudence, Guidance
Key 10 – Wheel of For.	Turning Point	Misalignment	Destiny Turning	Consequence, Karma
Key 11 – Justice	Equilibrium	With Prejudice	Cycle of Judgment	Truth, Veracity
Key 12 – Hanged Man	Sacrifice; Trials	Martyrdom	A Probationary Cycle	Mindfulness
Key 13 – Death	Metamorphosis	Inertia	Passage to Rebirth	Transmutation
Key 14 – Temperance	Attunement	Excess	Ability to Harmonize	Equanimity
Key 15 – The Devil	Possession; Distress	Severance	Evil Conditions	Rapture; Ill Health
Key 16 – The Tower	Shock; Overthrow	Upheaval	Unexpected Happening	Demolish, Oust
Key 17 – The Star	Hope; Healing	Malady	Gift of the Spirit (Hope)	Healing, Mending
Key 18 – The Moon	Presentment; Peril	Speculative	Bringing into Form	Revealing; Hidden Enemy
Key 19 – The Sun	Glory; Marriage	Disorientation	Expanded Consciousness	Heroic Acts
Key 20 – Judgement	Change in Position	Misconception	Higher Consciousness	Epiphany, Announce
Key 21 – The World	Assured Success	Skepticism	Cosmic Consciousness	Raise in Status and Wealth
Ace of Wands	Opportunity	Procrastination	Root of the Power of Fire	Inspiration; New Enterprise
Two of Wands	Aspirations	Expectations	Dominion	Safe Harbor
Three of Wands	Validation	Oversight	Established Strength	Expansion, Growth
Four of Wands	Prosperity	Rite of Passage	Perfected Work	Domicile, Sanctuary
Five of Wands	Competition	Reconciliation	Strife	Conflict
Six of Wands	Tribute	Mission	Victory	Accolade
Seven of Wands	Defiance	Anxiety	Valor	Defensive Maneuver
Eight of Wands	Progress	Misfire	Swiftness	Great Haste, Great Hope
Nine of Wands	Defense; Realization	Depletion	Great Strength	Resilience; Ongoing Success
Ten of Wands	Burden	Reassessment	Oppression	Responsibility
Page of Wands	Creativity	Insecurity	Rose of the Palace of Fire	Exploration
Knight of Wands	Intrepid	Intimidated	Chariot of Fire	Adventure, Quest
Queen of Wands	Power of Attraction	Capitulation	Thrones of Flame	Determination
King of Wands	Grandeur	Doctrinaire	Lord of the Spirits of Fire	Conscientious Leader
Ace of Cups	Fulfillment	Superficiality	Root of the Power of Water	Nourishment, True Heart
Two of Cups	Affinity	Misunderstanding	Love; Affection; Sincerity	Partnership, Unity
Three of Cups	Jubilee	Hedonism	Abundance; Love is Mutual	Community

Thoth Tarot: Key 8 – Adjustment (use Key 11 – Justice keywords and attributes); Key 11 – Lust (use Key 8 – Strength keywords and attributes). Key 14 named Art; Key 20 named The Aeon; Key 21 named The Universe. 
T A R O T   K E Y W O R D S

Rider-Waite-Smith	Keywords	Attribute Manifested	Additional Keywords
	Upright	Reversed		
Four of Cups	Introspection	Emergence	Blended Pleasure	World-weary, Vexation
Five of Cups	Regret	Moving On	Loss in Pleasure	Grief, Disappointment
Six of Cups	Reminiscence	Clinging	Pleasure	Nostalgia, Healing
Seven of Cups	Decoys	Purpose Revealed	Illusory Success	Gifts from the Fae
Eight of Cups	Detachment	Epicurean	Abandoned Success	Decline of a Matter
Nine of Cups	Wish Granted	Greed & Gluttony	Material Happiness; Motherhood	Good Quality of Life 
Ten of Cups	Felicity	Discord	Perpetual Success	Sense of Fulfillment
Page of Cups	Dreamer	Quixotic	Lotus of the Palace of the Floods	Meditation, Arts Study
Knight of Cups	Charisma	Discomfiture	Chariot of the Waters	Romanticism, Idealism
Queen of Cups	The Empath	Manipulation	Thrones of the Waters	Compassion, Comfort
King of Cups	Diplomacy	Commotion	Lord of the Hosts of the Sea	Business, Law, Divinity
Ace of Swords	Conquest; Take Arms	Disruption	Root of the Power of Air	Breakthrough
Two of Swords	Dueling Missions	Abatement	Peace Restored	Concord in State of Arms
Three of Swords	Strife	Disquiet Mind	Sorrow, Rupture, Division	Ideological Suffering
Four of Swords	Recuperate	Infirmity	Rest from Strife; Vigilance	Hermit’s Repose; Retreat
Five of Swords	Machiavellian	Contrition	Defeat; Destruction	Pyrrhic Victory
Six of Swords	Migration; Transition	Yearning Escape	Earned Success	Journey by Water; Envoy
Seven of Swords	Rebel; Enemy Succeeds	Scapegoat	Unstable Effort; Uncertain Design	Trickster, Failed Attempt
Eight of Swords	Limbo; Bad News	Emancipation	Shortened Force	Crisis, Sickness
Nine of Swords	Haunted; Anxiety	Ebb & Flow	Despair & Cruelty	Miscarriage of Justice
Ten of Swords	Existential Crisis	Defeat	Ruin; Affliction; Desolation	Failure; Betrayal
Page of Swords	Decisive Action	Fallen Angel	Lotus of the Palace of Air	Curious and Quarrelsome
Knight of Swords	Warrior	Warpath	Chariot of the Winds	Resistance; Gallantry
Queen of Swords	Indomitable	Elitism	Thrones of Air	Self-Determination
King of Swords	Intellectualism	Ulterior Motives	Lord of the Spirits of Air	Military Intelligence
Ace of Pentacles	Profit; Prosperity	Miles to Go	Root of the Power of Earth	Financial Opportunity
Two of Pentacles	Aggregate	Adrift	Harmonious Change	Complicate the Matter
Three of Pentacles	Investiture	Displacement	Material Works	Stability, Utility, Beauty
Four of Pentacles	Parsimony; Frugal	Recession	Earthly Power	Material Attachment
Five of Pentacles	Adversity	Reclamation	Material Trouble	Shouldering the World’s Pain
Six of Pentacles	Beneficence	Dearth	Material Success; Good Karma	Present Prosperity
Seven of Pentacles	Success; Fortune	Neglect	Success Unfulfilled	Caution in Business Barter
Eight of Pentacles	Diligence	Squandering Talent	Prudence; Craftsmanship	Gainful Employment
Nine of Pentacles	Refinement	Longing	Material Gain; Accomplishment	Material Wellbeing
Ten of Pentacles	Prestige; Legacy	Disengagement	Wealth	Family Matters
Page of Pentacles	Scholarship	Materialism	Rose of the Palace of Earth	Academic Success 
Knight of Pentacles	Methodic	Timidity	Chariot of Earth	Utilitarian; Pragmatism
Queen of Pentacles	Capital; Security	Vulnerability	Thrones of Earth	Resourcefulness
King of Pentacles	Establishment	Shortsighted	Lord of Spirits of Earth	Full Control of Situation

Thoth Tarot Court Cards: Page = Princess; Knight = Prince; and King = Knight. Suit of Pentacles named Suit of Disks.
